label	text_a
smile	正宗大板燒 🐿🐿TOP開左都一段日子，餐廳都好幾層！今日就嚟試下千房(^^) 大板燒專門店🤤🤤   千房位於4樓，有bar枱同普通卡位揀！想自己diy就要坐卡位啦！  我地就揀左坐bar枱，師傅燒，唔洗煩haha👅 先要左個千房燒($108)😮😮 材料好豐富架！有牛肉、豬肉、蝦等等🌞食落口感非常多層，入面嘅蔬菜粒食得出種類繁多，所以味道好rich 😀😀師傅嘅調味剛剛好，面層嘅醬好正宗！十足十日本食過嘅😽😽 枱面仲有木魚可以任加😍😍😍 另外叫左芝士波菜🤤 芝士多過菜咁濟☺️非常拉絲的👾菠菜同蕃茄再加芝士食落風味獨特❤️❤️ 最後甜品嗌左雪糕拼盤，可以揀3個味🤤非常recommend 鹽味，小小咸更加帶到奶味出嚟😍😍 
ok	唔見得比其他酒家特別好食 一行7人到此酒家食晚飯, 7道海鮮 + 雞連炒飯 & 炒菜共10道菜 total: $2750 無特別好食, 水準只屬合格, 不值專程到流浮山食呢間嘢... 
cry	質素同價錢唔成正比 今日嚟到呢間牛肉麵店食晏，一個人食坐嘅位比較窄，但佢環境都好衛生同埋裝修都唔錯，叫咗碗白胡椒湯牛坑腩幼麵，八護照湯好濃味，好鍾意嗰種刺激嘅感覺，而且牛坑腩嘅份量都算足夠，不過就整得唔係好入味，食落冇乜味，而且唔夠林，比較韌，好難咬得開，要一啖食先得。加上我點左要小棠菜做配料，但係最尾又俾咗其他菜我，而且啲菜又洽得唔夠熟，仲有啲硬。我話要少酸菜，但係又俾咗好多酸菜我，好似唔係好跟我指示，加上我食呢一碗野要成$75 ，我覺得價錢有啲太貴，同質素唔係好成正比。食一碗麵又唔係套餐，冇得加嘢飲，仲要收+1，如果呢個價錢，呢隻味道我未必會再去幫襯一次。 
smile	燒汁雞扒刈包好味 上星期和朋友去杏花邨睇波鞋啲時候，覺得肚餓，於是就落咗一層睇下有咩下午餐好食，睇咗幾間餐牌後，就決定揀一粥麵嘅燒汁雞扒刈包、家鄉銀針粉配一杯熱檸水$24 及細蓉(細碗鮮蝦雲吞麵)、雞全翼配冰鎮奶茶$32 。俾錢後，才慢慢揀位坐，因店舖都算幾大，坐位都算多，坐低大約五分鐘就有嘢食啦，最大驚喜竟然係個燒汁雞扒刈包，雞肉咬落竟然有汁，唔覺得乾，而且好香，好好味，而個家鄉銀針粉亦唔錯，對比細蓉餐，就更加覺得前者非常抵食，至於環境及服務都算可以，總括我哋兩個都覺得無揀錯。
ok	上海妹子 下午茶 我地一聚埋就會好想搵個地方坐低飲啖茶食個飽, 妹子佢話想食小籠包,下一秒我就被拖住衝左入去, 上海姥姥一享寧靜既下午茶, 店家裝修得好美,花兒點綴,高貴雅緻 我地2個人點左3個下午茶餐, 叫左2客雞絲粉皮配招牌小籠包同熱既甜豆漿, 另外1客雪菜肉絲炒年糕配熱奶茶, 由於熱奶茶售罄,所以轉左熱既甜豆漿, 雞絲粉皮確係幾好味,粉皮夠凍~ 亮晶晶! 配上雞絲青瓜麻醬拌一拌,簡單美味! 問心對佢既小籠包我的確幾失望, 因為我地係為小籠包而來,但小籠包個皮好濕好厚, 啲肉雖然好多,不過好”鞋”口, 雪菜肉絲炒年糕偏咸,我地食左幾片已經無食, 外賣盒要另加$1,但唔想浪費, 所以外賣番屋企翻熱減咸  
cry	冷氣聲大到影響心情 呢度食物sell健康 無雞粉 味精 激素 好似幾值得食 所以就叫左個慢煮雞肉晚餐($98)加龍蝦湯(+$48) 個雞搥好細隻 用少量鹽醃 估唔到呢度sell健康竟然有好唔健康既炸薯角 薯角鹹過雞搥好多 感覺非常邪惡 藜麥飯只係有少量藜麥 主要都係白飯 沙律菜中規中矩 如果可以沙律汁另上會更好 甜品 超細件  綠茉莉花茶 正常 龍蝦湯 無味 得兩件龍蝦肉 我覺得呢餐好住家質素 又生又熟擺埋一碟有少少奇怪 同埋好唔環保 堂食都係用紙碟紙杯 另外個冷氣超嘈 坐左半個鐘差唔多耳鳴 
smile	白雪雪烏冬☁️☁️ 朋友今日突然想食燒牛肉 就帶佢黎呢間吉列牛專門店食啦 我都五系第一次黎食啦！！ 嘻嘻嘻    吉列牛定食  $148  定食有哂 湯🥣 ，飯 ，牛🥩 ，小菜 ... 都夠飽既  牛肉炸到半生熟 自行放系熱石版到加熱後點少少醬就食得 夠牛味 帶少許根 夠咬口 ， 怪在有幾件頭尾 。 咖哩忌廉烏冬 ( 牛肉 )  $78  白雪雪 ☁️☁️ 好似雲呀 雲層下就系咖喱烏冬啦 食落一啲都唔會唔夾架 又五會油膩喎 口感 軟綿綿 ！！  牛油蜜糖單骨雞翼 $65  一啖一件都幾方便食 ， 蜜糖令到外皮有少許脆脆地 蜜糖甜甜地 蒜味又夠香  食到停五到口 。
ok	挑戰麻辣五小的一天 瞓到"黃朝八晏"，諗唔到食乜只係想食辣，咁啱要去淘大就先食個三哥做late lunch。從來我只會食酸辣或十小。今日唔知哪來的自信，竟然想挑戰一下五小（本人喜歡吃辣但又不太會吃辣）  叫了一碟中囗味的雲耳作前菜（秒速食完先記得影相 每次必叫，雲耳有益又好美，個汁食到人好開胃） 叫左個雜錦乜都有五小米線滿足我今日乜都想食ga心理。𠵱，原來五小一啲都冇攻擊性！！！完完全全可以handle到，但係冇乜麻同辣...好似退步左... 個乍醬少得過份!由以前佔滿滿半碟到依家連一湯匙ga份量都冇！不能接受  
cry	得個平字.... 所有野係得雞扒飯最好食(士油)... set lunch好唔得.... 環境好污遭... 又好多地盤工人.... 又多阿伯.... 
smile	冬陰公好好食 食完呢間餐廳之後只想講一聲，冬陰公萬歲！ 海鮮冬陰公浸娃娃菜 雖然價錢有少少貴，但係呢個冬陰公嘅酸辣真係好好食，唔會辣到你出晒汗，但係同喺泰國食到嘅味道係有九成相似！尤其是配左娃娃菜，娃娃菜完全吸收晒冬陰公嘅精華！ 芒果軟殼蟹米紙卷 軟殻蟹炸得10分香脆！配上芒果嘅酸甜簡直係冇得彈  炒金邊粉 金邊粉嘅醬汁做得唔錯，每條面都吸收晒啲醬汁，但係略嫌炒得唔夠鑊氣 豬手飯 好耐冇食過炸得咁香脆嘅豬手，佢個外皮真係炸到脆卜卜，咬落去就好似咬緊燒腩仔皮咁  芒果拿破崙 甜品就麻麻哋啦，拿破崙嘅酥皮做得太硬，食嘅時候完全整唔爛個皮
ok	大快活鋸扒日 約左個同學去慈雲山打波 但我地又未食野 所以近近地去左大快活 平時一個普通晚餐都走唔甩40-50蚊 咁叫左扒餐仲好 60蚊左右 又送野飲又送雪糕 仲要有人專人送上黎 一我覺得整體成個餐都OK 最差既係個飯 一黎太少 二黎太乾同硬 如果可以多D飯配埋塊牛扒 就正 
cry	非常差, 唔會有下次!!! 第一次寫劣評, Zenon cafe 可以話係一間服務極差, 食物難吃, 食完一肚氣嘅餐廳!!!  1. 朋友用app book 左位, 見有discount先去試下. 首先我地book左6:30pm, 我6:20pm去到有個著便服類似老細嘅男人問我d朋友幾點到, 遅過6:45pm就唔會有discount! 叫我盡快落order, 心諗全間餐廳一枱客都無, 洗唔洗一黎就咁無禮貌!   2. 牛扒$398,中環價, 以為味道應該唔差, 點知1/3塊係肥膏, 中間全部根, 切極都切唔開!!! 根本放唔入口, 寧願食大x樂果d扒!!!!  3. 我地order左一份三明治, 問個staff可唔可以切四份比我地share, 佢用好差嘅態度一口拒絕, 叫我地要切自己切! 呢下我開始著火🔥  4. 到飲品, 我喉嚨唔舒服問staff可吾可以比杯Tap Water, 佢話唔serve tap water, 要買bottle water. 咁我話唔洗la, 轉頭我拎左一支水拎出黎飲左一啖, 跟住有個著便服嘅女人(應該係老闆娘)係後面大叫我放番支水入袋, 態度差到一個點!!! 果下終於明白點解呢間餐廳會成晚除左我地一枱客都無(有discount都唔會有人黎)  仲有好多好多不滿!!!! 下刪100字.... 一句講晒, 食物差, 價錢貴, 服務比茶餐廳都不如! 根本係趕客!!!! 唔會有下次😤 
smile	正正正,真係正 上次個會聚會,第一次去呢度食野,覺得個格調好靜~~~好有歐陸風味,食野個時,野食真係唔錯,服務生既態度好友善,有問必答。 <br>除此以外,每逢平日去石澳同朋友傾計,都會坐係佢既露天座位度,一來睇車方便,二來有種舒適既感覺 <br>講到佢既野食同價錢,真係算抵食好味!!!! 
ok	窮人恩物 出新年食野到到都加價 好彩仲有啲又平又抵食既鋪頭 新年都照常營業🈺️ 君戶鍋貼大王有好多吾同分店 而且已經開左好多年 可以話係由細食到大 10蚊一碗熱辣辣每日新鮮製造豆腐花 真係好大碗 雖然吾上得做好滑 但係呢個價錢 性價比都算做高  仲叫左$14/5隻鍋貼，山煎牛肉包 感覺上鍋貼比係以前食既細隻左好多 不過話依舊煎得好香脆 但係入面個料就好細舊 山煎牛肉包個外層微脆 牛肉味道吾錯 不過就油左少少  最後叫左個上海排骨雪菜肉絲麵 所謂既上海排骨 其實姐係炸豬排🥩 其實味道都正正常常 只可惜豬扒size比較細 只係隻碟既一半 至於麵既湯式比較清 感覺上味道完全來自雪菜肉絲 麵質方面亦麵比較缺乏咬口 食落一啲都吾彈牙 比較令人失望 不過新年可以食到啲平野 而且味到吾算太差 都算係甘啦 
cry	唔係好想再去 佢由11樓搬左落3樓，但係好似越來越貴囉。但今次有個不好的體驗😔，失望。。。。 我同d friend 食完飯諗住食下甜品先返屋企啦，每人點一個甜品，我同d friend 一路食一路傾計啦，突然我個 friend 食食下發現有2條好短嘅頭髮係d 湯圓度😱，即刻叫店員黎睇下，咁岩佢話唔到事，佢就問個高級d嘅，話幫我地換個新，諗諗下，我地梗係唔換啦，點知會唔會都係仲有架，所以我地決定叫佢取消左個個甜品，我個friend 最怕見到頭髮😔。 
smile	名不虛傳 嚟到中午時間，去返上次食過番尋味嘅敏華冰室。我被上次點了一碗「沙嗲牛肉公仔麵」嘅「公仔麵」吸引我再之光臨。 中午呢個時段都係要等位，等到入座時，已經可以點茶餐了。 茶餐選擇比較小 可能上次太期待，今次覺得個公仔麵又冇咩特別喎，而且雞翼冇另外用碟上，浸晒落湯度，好快就冇晒D脆口感，我建議應該另外上會好D。  上次嚟食晚飯，竟然賣晒叉燒，我食唔到，今次終於一嘗。 叉燒係整得幾好嘅，冇肥膩感，而且叉燒都算多，食到好飽肚添  奶同茶比例啱啱好，甘香滑漏     
