label,text
1,雖然貴💸但真心好食嘅爆汁牛肉餅💦九龍城除咗泰國菜出名外，仲有呢間「清真牛肉館」🏠佢地最出名嘅就係呢個牛肉餅，細細一件已經要$18，價錢確實有啲貴，但味道真係唔錯👍🏻外皮煎得好香脆，一咬落去，啲湯汁噴晒出嚟💦如果無經驗者，真係超容易整污糟件衫😝(其實我差少少都中招，好彩身手敏捷😂😂避開咗！）另外佢肉味香濃，口感飽滿！以牛肉餅呢講，佢都算一哥🏅如果佢係旺區開分店就好啦！咁就唔洗吓吓碌入九龍城先食到
1,九龍城對我黎講，絕對唔係一個就腳既地方一年可能只會經過幾次但每次經過，我都會諗起牛肉餅記得第一次食已經係10年前既事10年後今日，水準依然保持皮既厚度適中，可以將牛肉汁緊緊鎖住但又唔一口粉一啖咬落去，熱辣辣既肉汁真係會爆出黎所以真係要小心燙口入面既牛勁香勁好味真係返到屋企，諗返起都流口水
1,九龍城，不只是泰國菜出名，還有不少地道特色的餐館都非常有名氣，人人都爭著朝聖。其中一間連名人都朝的菜館，必定有這裡的份。而我今次第一次入九龍城，當然不會錯過它。點了一份招牌牛肉餅，說真的還真夠貴的，但那焦香的表皮同香氣的濃郁，它對得起這個價錢 ! 先咬一口試個究竟。一咬開真是不得了，牛肉汁流到一碟也是。好不容易用那包子盛起汁液。熱辣辣的湯汁惹味非常，整個肉涵都充滿著濃郁的味道。加上它脆脆的表皮，甘香可口。不消十分鐘，兩塊厚厚牛肉餅清掉，它不愧是九龍城中必朝的聖地
1,同事買咗九龍城嘅牛肉餅返公司一齊食，返到嚟都仲係暖嘅！雖然牛肉餅仲係暖，不過因為外賣嘅關係都焗咗一陣，所以個皮唔夠香脆！腍咗少少！咬開入面D牛肉汁就滴出嚟，仲聞到好香牛肉味！好多汁、好香！牛肉亦鮮嫩多汁、味道濃郁！
1,"平日下午12:30左右去到，都爆滿，記得book位。5個人點了幾個菜share。牛肉餅，好鎖住d肉汁，不過個皮乾左Ｄ，好好味。牛肉餃，一碟10個，一口食晒，Ｄ肉都好鮮嫩！值得一試。麻醬雞絲麵，麻醬味好重，條條麵都有麻醬味！！(冷食)如果你食羊既，一定要食咖哩羊腩！羊肉唔SO，連Ｄ咖哩汁都有羊味！！好好吃！5個人SHARE，每人$50,好飽，黎九龍城一定要試下。　如果得一兩個人，會食得唔多，又會貴，建議多Ｄ人一齊食。"
0,很久沒來吃牛肉餅，經過九龍城又來試吓，估唔到除咗啲服務員差劣嘅服務質素同勁想你快快食完走嘅態度無變外，啲食物水準變得差到無朋友。同老公兩個人叫咗個$188二人套餐，有兩，個牛肉餅、麻油雞、酸辣湯，同辣子羊肉。所有野都係勁油同勁咸。牛肉餅已經無以前咁好食，個皮唔香唔酥；沙薑雞唔知係咪改咗名叫麻油雞；酸辣湯係醋加辣油；辣子羊肉最衰，唔辣不特止重'酥'味十足，啲羊肉係碎上，難得搵倒啲係一塊塊嘅，但係係咬唔爛嘅。超難食到無朋友!! 想點呀？
1,"一行四人晚上10點左右黎到都仲係好多人原本只係想入去食個牛肉餅一坐低先發現最低消費26蚊咁只好再叫多份雞絲海蜇雞絲海蜇好普通而最出名既牛肉餅無令我地失望我食過三次三次都比佢d肉汁燙親條""月利""所以大家要小心每個牛肉餅都超多肉汁特別欣賞佢層餅皮剪得夠香夠煙韌水準keep得到一定會再幫親"
1,很久已聽聞這間餐廳很好食，今次第一次來試試。環境：有點擠迫，要有心理準備要搭枱。食物：清真牛肉餅果然是鎮店之寶，名不虛傳，外皮香脆，肉味鮮濃，不太油膩，咬落去仲會爆汁，正！牛肉水餃的外皮不太厚，連湯汁一齊食，會齒頰留香。三絲拌麵則比較一般，不過不失。服務：上菜快，服務算OK。價錢：合理。
1,"九龍城覓食記 - 第二站 - 清真牛肉館下午時間已坐滿大半人兩人叫了兩個牛肉餅 + 雞 + 酸辡湯牛肉餅已是第二次食喇!~ 今次堂食熱騰騰真係好好味呀!!!雞 - 已經唔記得叫咩雞, 雞幾入味... 但好似貴左d酸辡湯 - 味唔太夠 .... 下次都係唔好喇~( 同場見到Bosco, 同老闆娘好好傾... 可能係熟客仔~ )"
1,"同朋友GATHERING,大家都話去九龍城搵野食~~~牛肉餅>> 真係好好味！D牛肉好多汁>3<咖哩羊腩>> 咖哩汁好好食！正~~羊肉都好入口, 唔會蘇~酸辣湯>> 我鍾意辣既好好食~朋友就要係咁飲茶~~~麻油雞>> 好鍾意佢個汁！雞就普通~但麻油好好味, 但好細碟..一人一兩舊就冇左.清真炒飯>> 正正常常~~"
